Kd_Prov,Provinsi,Kondisi_Baik,Kondisi_Sedang,Kondisi_RR,Kondisi_RB,Baik_%,Sedang_%,RR_%,RB_%,Total_Panjang
11,Aceh,983.54,1090.25,25.09,3.19,46.79,51.87,1.19,0.15,2102.07
12,Sumatera Utara,1080.93,1328.31,182.18,40.8,41.07,50.46,6.92,1.55,2632.22
13,Sumatera Barat,515.88,821.43,78.41,33.08,35.59,56.67,5.41,2.28,1449.62
14,Riau,385.9,836.52,86.95,27.24,28.87,62.58,6.51,2.04,1336.61
15,Jambi,529.05,616.97,129.38,42.54,40.14,46.81,9.82,3.23,1317.93
16,Sumatera Selatan,807.22,705.08,78.45,9.42,50.45,44.06,4.9,0.59,1600.16
17,Bengkulu,391.37,300.81,84.36,16.08,49.38,37.95,10.64,2.03,792.61
18,Lampung,400.21,825.65,52.33,14.02,30.97,63.89,4.05,1.09,1292.21
19,Kepulauan Bangka Belitung,475.65,123.83,0.82,0.1,79.22,20.62,0.14,0.02,600.4
21,Kepulauan Riau,400.3,175.65,6.27,4.6,68.22,29.93,1.07,0.78,586.83
31,DKI Jakarta,0,0,0,0,0,0,0,0,0
32,Jawa Barat,544.25,1199.94,42.79,2.22,30.42,67.07,2.39,0.12,1789.2
33,Jawa Tengah,673.01,750.01,88.33,6.74,44.33,49.41,5.82,0.44,1518.09
34,D.I. Yogyakarta,171.32,71.55,4.94,0.1,69.11,28.86,1.99,0.04,247.91
35,Jawa Timur,1359.2,939.58,58.13,4.32,57.56,39.79,2.46,0.18,2361.23
36,Banten,177.72,352.13,33.33,1.71,31.46,62.34,5.9,0.3,564.89
51,Bali,343.42,278.01,7.25,0.72,54.56,44.17,1.15,0.11,629.39
52,Nusa Tenggara Barat,138.87,768.79,26.48,0.42,14.86,82.26,2.83,0.04,934.55
53,Nusa Tenggara Timur,538.01,1208.37,109.34,2.2,28.96,65.04,5.88,0.12,1857.91
61,Kalimantan Barat,1519.58,527.28,46.07,24.65,71.76,24.9,2.18,1.16,2117.57
62,Kalimantan Tengah,483.3,1202.22,139.95,176.61,24.14,60.05,6.99,8.82,2002.08
63,Kalimantan Selatan,440.38,709.93,47.25,6.74,36.57,58.95,3.92,0.56,1204.3
64,Kalimantan Timur,438.73,995.67,179.79,96.71,25.64,58.2,10.51,5.65,1710.9
65,Kalimantan Utara,109.78,424.05,37.34,13.99,18.76,72.47,6.38,2.39,585.16
71,Sulawesi Utara,292.6,1224.73,138.51,8.08,17.58,73.6,8.32,0.49,1663.92
72,Sulawesi Tengah,805.46,1520.93,38.48,8.53,33.94,64.08,1.62,0.36,2373.4
73,Sulawesi Selatan,184.03,1466,72.68,23.21,10.54,83.97,4.16,1.33,1745.92
74,Sulawesi Tenggara,533.82,846.31,109.96,7.72,35.64,56.5,7.34,0.52,1497.81
75,Gorontalo,354.77,340.6,40.08,13.14,47.39,45.5,5.35,1.76,748.6
76,Sulawesi Barat,182.69,518.4,29.2,32.88,23.94,67.93,3.83,4.31,763.17
81,Maluku,700.13,942.23,79.38,49.93,39.52,53.18,4.48,2.82,1771.67
82,Maluku Utara,319.56,742.82,100.32,40.64,26.56,61.73,8.34,3.38,1203.34
91,Papua Barat,460.02,568.72,147.44,150.19,34.68,42.88,11.12,11.32,1326.38
94,Papua,943.54,1194.05,255.66,243.48,35.78,45.29,9.7,9.23,2636.73
xxx,Indonesia,17684.25,25616.8,2556.95,1105.96,37.65,54.54,5.44,2.35,46964.77
